,Sales & Marketing,Engineering Research & Development,Customer Services,Business Operations,Leadership,Other,total_jobs
blue cross blue shield of massachusetts,0,0,1,0,0,0,1
blue cross and blue shield of kansas city,0,0,0,0,2,0,2
horizon blue cross blue shield of new jersey,0,0,0,1,0,0,1
blue cross and blue shield of alabama,0,0,0,0,2,0,2
blue cross & blue shield of mississippi,0,0,1,2,0,0,3
blue cross blue shield of michigan,0,0,0,2,0,0,2
excellus blue cross blue shield,0,0,0,0,0,0,0
blue cross blue shield of north dakota,0,0,0,0,0,0,0
cognizant technology solutions,0,17,4,9,19,0,49
earth tek engineering corp,0,3,0,0,0,2,5
novation tek,0,0,0,4,0,0,4
tek bay,0,1,0,0,0,0,1
quik tek assembly llc,0,5,0,0,0,0,5
ariston tek inc,0,3,0,3,1,0,7
tek leaders,0,4,0,3,0,0,7
global pharma tek,0,2,0,0,0,0,2
tek leaders inc,0,0,0,0,0,0,0
miracles tek,0,0,0,0,0,0,0
tek experts,0,2,0,1,0,0,3
tek wissen llc,1,1,0,1,0,0,3
tek yantra inc,0,1,0,0,1,0,2
tek on demand,0,0,0,0,0,0,0
tek ninjas solutions,0,0,0,0,0,0,0
tek ninjas,0,1,0,0,0,0,1
sure3 tek,0,0,0,0,0,0,0
droit tek solutions,0,1,0,0,0,0,1
"bay tek games, inc.",0,0,0,0,0,0,0
amazon workforce staffing,0,0,0,0,0,27,27
amazon runs,0,0,0,0,0,0,0
amazon retail llc,0,0,0,1,0,0,1
amazon hvh,0,0,0,0,0,3,3
amazon support services costa rica srl,0,0,0,0,0,0,0
amazon studios llc,0,0,0,0,0,0,0
amazon dsp,0,0,0,0,0,1,1
jre logistics - amazon dsp,0,0,0,0,0,0,0
general dynamics electric boat,0,5,0,0,0,0,5
c3i solutions an hcl technologies company,0,0,4,2,0,0,6
hcl technologies,2,6,7,6,0,0,21
hcl americas,2,10,0,3,21,8,44
hcl america,0,1,0,0,0,0,1
hcl america inc,0,0,0,0,0,0,0
justice resource institute/dys zara cisco,0,0,0,0,3,0,3
cisco systems,13,10,7,12,5,0,47
cisco environmental,0,0,0,0,0,4,4
cisco talos intelligence group,0,0,0,0,0,0,0
cisco meraki,0,0,0,0,0,0,0
atos - syntel,0,2,0,0,0,0,2
atos,6,16,1,12,2,1,38
atos syntel,0,0,0,0,1,0,1
atos medical us,0,0,0,0,0,0,0
oracle,16,12,2,12,5,1,48
oracle cloud sales service cpq functional,0,0,0,0,0,0,0
experis (manpowergroup),0,0,0,0,0,4,4
experis manpowergroup,0,14,0,10,0,0,24
booz allen hamilton,0,36,0,7,6,0,49
general dynamics information technology,0,24,2,2,12,1,41
infosys limited,0,19,0,18,13,0,50
infosys bpm limited,0,0,0,4,0,0,4
infosys,0,13,0,1,0,0,14
hsv infosys,1,1,0,0,1,0,3
